登録番号,重み付き和,重み付き二乗和,重み計,基準日
3929,3.8102319647,0.6707993207,24.8551408363,2026-09-15
3930,2.9919797487,0.5203535696,22.0656407623,2026-09-15
3931,4.4101256177,0.7498663876,31.351058683,2026-09-15
3932,3.3923888693,0.6708122862,20.6075572846,2026-09-15
3933,4.5683908254,0.9275700133,25.2905630603,2026-09-15
3934,4.9652392135,0.9170431385,30.8944663558,2026-09-15
3935,3.3445510529,0.5476521301,24.1115620464,2026-09-15
3939,5.1675970443,1.0170782725,28.7584498946,2026-09-15
3940,4.9106455859,0.7447259988,35.9881390685,2026-09-15
3941,4.0522210795,0.5985680125,34.4287688223,2026-09-15
3942,3.3605135381,0.5008044517,25.1108272254,2026-09-15
3943,1.7648023091,0.3576884754,9.8449429244,2026-09-15
3944,3.7335535696,0.8155252085,20.0358499354,2026-09-15
3945,3.6911162124,0.7631570161,20.0804133636,2026-09-15
3946,5.472312522,0.9512075378,35.7211138312,2026-09-15
3947,4.0825001903,0.7349044408,25.8902781938,2026-09-15
3948,3.8721427323,0.8129695703,21.3847900517,2026-09-15
3949,2.9891498913,0.5865103806,18.9813520174,2026-09-15
3950,2.5675822515,0.4582492851,17.7714388209,2026-09-15
3951,4.3369385865,0.9459450146,22.2673779072,2026-09-15
3952,4.2172937774,0.640201667,33.635654439,2026-09-15
3953,3.8157043409,0.8231364893,19.303921587,2026-09-15
3955,3.1371231464,0.6617406587,17.2044976985,2026-09-15
3956,4.2543892084,0.7603413609,26.1383764115,2026-09-15
3957,6.1466355451,1.2222975895,34.3568470332,2026-09-15
3959,4.6676037748,0.7229857033,34.4990334992,2026-09-15
3960,3.0150665315,0.3585138642,30.2721191412,2026-09-15
3961,5.8346808925,1.1231386176,34.359663187,2026-09-15
3963,4.9580344451,0.9397381091,30.7169601567,2026-09-15
3964,4.935514646,1.118007044,23.9489077534,2026-09-15
3965,5.0078264468,0.9835245889,32.2723547504,2026-09-15
3966,5.6896825063,1.1228231972,32.4862590476,2026-09-15
3967,4.3722807824,1.2540222382,20.095171789,2026-09-15
3968,4.9576408452,0.927614677,30.6321592048,2026-09-15
3973,4.7836214074,0.9717496927,26.7230016234,2026-09-15
3974,3.9846383991,0.7396792994,24.6746358294,2026-09-15
3975,3.661946951,0.5424969721,29.0890255088,2026-09-15
3976,4.2236570564,0.8825491002,24.5203007295,2026-09-15
3977,3.875698906,0.7130189289,24.9097067474,2026-09-15
3978,2.9040000072,0.546636035,17.1307036327,2026-09-15
3981,5.2270674324,1.1522222636,25.9838869633,2026-09-15
3982,3.3491892419,0.5908540886,21.9785134356,2026-09-15
3983,4.2777621919,0.6742304688,31.9934218588,2026-09-15
3984,5.4177098141,0.9125375484,34.5777581912,2026-09-15
3986,0.3291529536,0.0609274081,1.9968388176,2026-09-15
3987,4.0810960373,0.7375653669,26.1997618306,2026-09-15
3988,4.4266949509,0.6680762395,33.8642180167,2026-09-15
3989,4.7361928747,1.0935647462,22.7161139418,2026-09-15
3990,4.0996165327,0.7664892039,26.1510429967,2026-09-15
3992,2.9749916967,0.5285318196,19.1776496801,2026-09-15
3993,3.2720815549,0.6111698982,21.1246248466,2026-09-15
3994,3.121825155,0.5835288878,18.3154681126,2026-09-15
3995,2.3117004306,0.3434849195,17.4546369511,2026-09-15
3997,5.0377217574,0.8337046149,34.3303191125,2026-09-15
3998,5.0284188402,0.9399801476,29.9095826978,2026-09-15
3999,5.2614977358,1.017900962,30.3488155236,2026-09-15
4000,5.2877648195,0.9801402682,32.0402420243,2026-09-15
4002,4.3992483244,0.7230837971,30.4985691584,2026-09-15
