レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607022206,2026-07-02,22,06R,14:51,2026-07-02T15:00:36.032715+09:00,1,160,1,100,6,130,,,1-6,570,2,1=6,410,2,1=6,150,1,1=4,620,9,4=6,510,7,1-6-4,4230,16,1=4=6,1990,7
202607021609,2026-07-02,16,09R,14:56,2026-07-02T15:04:23.568948+09:00,1,100,1,100,4,370,,,1-4,1290,5,1=4,2210,5,1=4,260,5,1=6,220,3,4=6,1410,14,1-4-6,3140,14,1=4=6,1440,9
202607020407,2026-07-02,04,07R,15:00,2026-07-02T15:08:26.645013+09:00,2,560,2,1960,4,970,,,2-4,2510,12,2=4,670,6,2=4,330,5,2=6,440,8,4=6,150,1,2-4-6,4010,16,2=4=6,800,5
202607020608,2026-07-02,06,08R,15:05,2026-07-02T15:12:27.596685+09:00,4,230,4,170,1,250,,,4-1,290,1,1=4,160,1,1=4,160,1,3=4,320,7,1=3,430,8,4-1-3,2160,7,1=3=4,390,2
202607020508,2026-07-02,05,08R,15:09,2026-07-02T15:18:25.154371+09:00,1,130,1,100,2,170,,,1-2,270,1,1=2,320,1,1=2,130,1,1=6,360,6,2=6,820,13,1-2-6,1800,6,1=2=6,920,4
202607020810,2026-07-02,08,10R,15:15,2026-07-02T15:26:20.838067+09:00,1,100,1,100,4,330,,,1-4,280,1,1=4,380,2,1=4,100,1,1=5,210,3,4=5,360,6,1-4-5,930,3,1=4=5,330,1
202607021110,2026-07-02,11,10R,15:18,2026-07-02T15:28:24.345164+09:00,1,130,1,100,4,140,,,1-4,640,3,1=4,690,3,1=4,170,3,1=3,150,2,3=4,300,6,1-4-3,1430,5,1=3=4,370,2
202607022207,2026-07-02,22,07R,15:21,2026-07-02T15:30:25.704163+09:00,1,100,1,110,6,120,,,1-6,500,3,1=6,290,1,1=6,140,2,1=2,130,1,2=6,240,4,1-6-2,800,2,1=2=6,260,1
202607022401,2026-07-02,24,01R,15:23,2026-07-02T15:30:25.704163+09:00,2,980,2,120,1,100,,,2-1,1590,7,1=2,250,2,1=2,180,2,2=4,540,8,1=4,330,3,2-1-4,6730,22,1=2=4,800,4
202607021901,2026-07-02,19,01R,15:26,2026-07-02T15:34:20.724464+09:00,1,150,1,100,5,230,,,1-5,1590,5,1=5,670,4,1=5,300,5,1=4,170,1,4=5,380,7,1-5-4,4820,20,1=4=5,2000,9
202607020701,2026-07-02,07,01R,15:28,2026-07-02T15:36:26.241017+09:00,3,210,3,120,2,100,,,3-2,390,1,2=3,260,1,2=3,110,1,1=3,140,2,1=2,140,3,3-2-1,910,2,1=2=3,140,1
202607021610,2026-07-02,16,10R,15:30,2026-07-02T15:40:27.470825+09:00,1,250,1,130,2,150,,,1-2,560,1,1=2,340,1,1=2,200,1,1=4,240,4,2=4,440,9,1-2-4,2100,3,1=2=4,940,2
202607020408,2026-07-02,04,08R,15:32,2026-07-02T15:42:21.481553+09:00,4,340,4,100,3,280,,,4-3,2050,8,3=4,1220,7,3=4,360,6,1=4,130,1,1=3,290,5,4-3-1,5830,23,1=3=4,440,2
202607020609,2026-07-02,06,09R,15:36,2026-07-02T15:44:25.996429+09:00,3,100,3,110,5,460,,,3-5,1150,5,3=5,660,3,3=5,160,2,2=3,240,4,2=5,660,9,3-5-2,3690,15,2=3=5,1110,4
202607020509,2026-07-02,05,09R,15:41,2026-07-02T15:50:27.227074+09:00,4,920,4,310,1,100,,,4-1,2270,8,1=4,490,3,1=4,240,4,3=4,210,3,1=3,130,2,4-1-3,7170,24,1=3=4,340,2
202607022402,2026-07-02,24,02R,15:49,2026-07-02T15:56:26.750785+09:00,2,790,2,280,3,260,,,2-3,2750,11,2=3,1610,5,2=3,260,3,1=2,200,2,1=3,280,4,2-3-1,8510,34,1=2=3,610,3
202607020811,2026-07-02,08,11R,15:46,2026-07-02T15:58:19.507427+09:00,1,100,1,100,2,170,,,1-2,190,1,1=2,160,1,1=2,120,1,1=3,240,4,2=3,200,3,1-2-3,490,1,1=2=3,360,1
202607021111,2026-07-02,11,11R,15:48,2026-07-02T15:58:19.507427+09:00,2,600,2,170,4,3330,,,2-4,3070,13,2=4,2780,11,2=4,470,10,1=2,180,1,1=4,250,5,2-4-1,11370,32,1=2=4,700,4
202607022208,2026-07-02,22,08R,15:56,2026-07-02T16:04:23.912630+09:00,1,140,1,100,3,230,,,1-3,480,3,1=3,450,2,1=3,360,7,1=2,140,1,2=3,360,5,1-3-2,1070,4,1=2=3,210,1
202607021902,2026-07-02,19,02R,15:58,2026-07-02T16:06:25.951315+09:00,3,430,3,160,2,240,,,3-2,680,3,2=3,530,3,2=3,220,2,3=6,550,10,2=6,780,11,3-2-6,8080,30,2=3=6,3420,11
202607020702,2026-07-02,07,02R,16:02,2026-07-02T16:10:24.496648+09:00,4,500,4,320,1,140,,,4-1,4240,19,1=4,2010,10,1=4,620,10,2=4,270,5,1=2,220,2,4-1-2,13740,52,1=2=4,1020,6
202607020409,2026-07-02,04,09R,16:05,2026-07-02T16:14:26.637192+09:00,2,660,2,240,5,220,,,2-5,3270,13,2=5,1890,7,2=5,450,8,2=3,490,10,3=5,800,13,2-5-3,14950,48,2=3=5,3850,12
