レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609261802,2026-09-26,18,02R,daily,0.4499,0.001905,0.001388,0.000300,0.000282,0.000177,0.000780,0.027558,0.023655,0.078442,0.006732,0.008331,0.017670,0.053824,0.020353,0.011328,0.084983,0.007856,0.023379,0.004385,0.004814,0.020154,0.009879,0.009937,0.013790,0.005433,0.004314,0.001284,0.002161,0.001751,0.000992,0.550067,0.002099
202609261802,2026-09-26,18,02R,realtime,0.4175,0.001391,0.000595,0.000135,0.000204,0.000195,0.000860,0.026755,0.013064,0.071982,0.004496,0.004722,0.013457,0.042719,0.020031,0.014621,0.104885,0.006902,0.020088,0.002866,0.003622,0.023398,0.010497,0.007388,0.008878,0.003837,0.003825,0.000946,0.001628,0.001519,0.000548,0.582523,0.001424
202609261803,2026-09-26,18,03R,daily,0.1608,0.000697,0.000387,0.000137,0.000097,0.000085,0.000216,0.004570,0.009020,0.014120,0.006439,0.003400,0.010150,0.009216,0.011311,0.005867,0.035717,0.003126,0.003055,0.002091,0.001131,0.023173,0.003731,0.004663,0.001254,0.002336,0.001276,0.000914,0.000900,0.000617,0.000495,0.839233,0.000575
202609261803,2026-09-26,18,03R,realtime,0.1504,0.000733,0.000296,0.000092,0.000070,0.000097,0.000229,0.003377,0.008608,0.015483,0.003467,0.001593,0.009359,0.009731,0.012542,0.004833,0.029671,0.002849,0.002818,0.001742,0.001386,0.027348,0.003134,0.004395,0.001138,0.001533,0.001290,0.000786,0.000419,0.000476,0.000338,0.849579,0.000587
202609261804,2026-09-26,18,04R,daily,0.4772,0.001662,0.000959,0.000329,0.000160,0.000185,0.000219,0.053086,0.046446,0.022484,0.014242,0.000842,0.025513,0.012158,0.025356,0.001694,0.148064,0.015615,0.015161,0.006971,0.000906,0.031248,0.021749,0.012616,0.003804,0.006457,0.000453,0.001559,0.001029,0.001300,0.000701,0.522826,0.004205
202609261804,2026-09-26,18,04R,realtime,0.4250,0.000941,0.001008,0.000211,0.000158,0.000168,0.000203,0.047251,0.038174,0.021783,0.013017,0.000464,0.023312,0.012799,0.033097,0.001509,0.132387,0.009823,0.009150,0.005336,0.000564,0.029632,0.014772,0.012150,0.003404,0.006562,0.000405,0.001784,0.001114,0.000920,0.000632,0.575049,0.002220
202609261805,2026-09-26,18,05R,daily,0.4150,0.001705,0.001343,0.000366,0.000258,0.000170,0.000728,0.021086,0.041011,0.046381,0.005792,0.013809,0.027494,0.044628,0.019144,0.015843,0.063521,0.011515,0.019041,0.003873,0.004414,0.021770,0.009593,0.015276,0.007983,0.004549,0.006408,0.000985,0.001879,0.001563,0.001019,0.584969,0.001885
202609261806,2026-09-26,18,06R,daily,0.3981,0.001613,0.001257,0.000369,0.000213,0.000180,0.000490,0.018822,0.032304,0.048325,0.006497,0.003587,0.027499,0.033430,0.012575,0.011029,0.068850,0.010439,0.029079,0.004840,0.005763,0.032247,0.007295,0.011387,0.012689,0.003732,0.005949,0.001353,0.001916,0.001533,0.001084,0.601864,0.001788
202609261807,2026-09-26,18,07R,daily,0.4457,0.001962,0.001379,0.000376,0.000218,0.000222,0.000497,0.027317,0.043106,0.043033,0.013730,0.004054,0.030152,0.030300,0.032025,0.012027,0.082927,0.014015,0.024472,0.007051,0.002765,0.026180,0.011834,0.013038,0.006712,0.006252,0.003118,0.001055,0.001412,0.001320,0.001095,0.554301,0.002053
202609261808,2026-09-26,18,08R,daily,0.2999,0.000870,0.000552,0.000187,0.000104,0.000133,0.000168,0.005591,0.023020,0.021596,0.027912,0.001059,0.014141,0.019192,0.067095,0.001632,0.032319,0.003555,0.007197,0.007855,0.000813,0.032958,0.007023,0.006235,0.003443,0.010520,0.000426,0.000849,0.000628,0.001183,0.000539,0.700072,0.001133
202609261809,2026-09-26,18,09R,daily,0.2793,0.001173,0.001168,0.000251,0.000139,0.000142,0.000372,0.008239,0.031498,0.018578,0.007135,0.002792,0.030591,0.014811,0.018931,0.006388,0.049629,0.006185,0.008579,0.004358,0.002250,0.033000,0.004913,0.011387,0.005507,0.003620,0.002506,0.000746,0.001191,0.001229,0.000528,0.720732,0.001431
