レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609250902,2026-09-25,09,2R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.036429,0.030083,0.025976,0.025306,0.019106
202609250902,2026-09-25,09,2R,realtime,2-1-3,3-1-2,2-3-1,3-2-1,3-1-4,差し,まくり差し,差し,まくり,まくり差し,0.038167,0.037895,0.029742,0.028724,0.028153
202609250903,2026-09-25,09,3R,daily,5-1-2,4-1-2,5-1-4,4-1-5,5-1-3,まくり差し,まくり,まくり差し,まくり差し,まくり差し,0.021812,0.020962,0.018130,0.017140,0.016367
202609250903,2026-09-25,09,3R,realtime,4-1-2,5-1-4,5-1-2,4-1-5,4-1-6,まくり,まくり差し,まくり差し,まくり差し,まくり,0.024831,0.019244,0.019087,0.018694,0.014889
202609250904,2026-09-25,09,4R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.032387,0.029703,0.024670,0.024097,0.018450
202609250904,2026-09-25,09,4R,realtime,3-1-4,3-1-2,4-1-3,3-1-5,3-4-1,まくり差し,まくり差し,差し,まくり差し,まくり,0.043037,0.026232,0.023539,0.022187,0.020481
202609250905,2026-09-25,09,5R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し,0.029952,0.022977,0.015223,0.014266,0.010781
202609250905,2026-09-25,09,5R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,2-1-6,差し,差し,差し,まくり,差し,0.032630,0.029721,0.016377,0.013332,0.011140
202609250906,2026-09-25,09,6R,daily,4-1-3,4-1-2,4-1-5,3-1-4,4-2-1,差し,まくり,まくり差し,まくり差し,まくり,0.048233,0.044959,0.037357,0.029785,0.026918
202609250906,2026-09-25,09,6R,realtime,4-1-3,4-1-2,4-1-5,4-3-1,4-2-1,差し,まくり,まくり差し,まくり,まくり,0.082933,0.064788,0.062364,0.040609,0.033505
202609250907,2026-09-25,09,7R,daily,5-1-2,2-1-3,5-1-3,2-1-5,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し,0.031587,0.031228,0.026006,0.025139,0.023527
202609250907,2026-09-25,09,7R,realtime,2-1-5,2-5-1,2-1-3,5-2-1,5-1-2,差し,差し,差し,まくり差し,まくり差し,0.051290,0.039911,0.035697,0.034656,0.033082
202609250908,2026-09-25,09,8R,daily,2-1-3,2-1-4,2-1-6,2-1-5,6-1-2,差し,差し,差し,差し,まくり差し,0.042961,0.039806,0.027642,0.025388,0.020540
202609250908,2026-09-25,09,8R,realtime,6-1-2,6-2-1,6-1-4,2-1-6,6-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.112046,0.053859,0.048360,0.041281,0.035831
