レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607252402,2026-07-25,24,02R,4583,0.131,3773,0.1583,3313,0.1674,4981,0.1647,5313,0.166,5345,0.1916
202607252403,2026-07-25,24,03R,5102,0.1683,3567,0.176,5331,0.1386,5374,0.134,4245,0.1763,5384,0.2323
202607252404,2026-07-25,24,04R,4803,0.1911,4053,0.1879,4679,0.1488,4684,0.1281,5333,0.1958,5111,0.1576
202607252405,2026-07-25,24,05R,4403,0.1283,4623,0.1463,4301,0.1766,5130,0.1557,4025,0.1805,4753,0.1796
202607252406,2026-07-25,24,06R,4475,0.1259,3974,0.1626,5261,0.1503,5313,0.1631,4675,0.1232,4898,0.1472
202607252407,2026-07-25,24,07R,3888,0.1297,4329,0.1655,5176,0.1693,3313,0.1704,5384,0.2188,5350,0.1775
202607252408,2026-07-25,24,08R,4171,0.172,3945,0.1854,5333,0.1899,4232,0.1551,3567,0.1759,5374,0.1504
202607252409,2026-07-25,24,09R,4821,0.18,4679,0.1548,5130,0.1527,5331,0.1416,3773,0.1582,4357,0.1751
202607252410,2026-07-25,24,10R,5111,0.1367,4475,0.1334,4981,0.1617,4025,0.1776,5102,0.1757,4623,0.1597
202607252411,2026-07-25,24,11R,4518,0.1801,3256,0.1397,4437,0.1602,4305,0.1489,4977,0.1512,4808,0.1753
202607252412,2026-07-25,24,12R,4675,0.1158,4583,0.1385,4171,0.1735,3888,0.1342,4403,0.1357,4053,0.2013
