レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609160906,2026-09-16,09,06R,4581,0.1396,0.1018,0.1775,4695,0.1391,0.1027,0.1754,5204,0.1564,0.1097,0.2032,3629,0.1616,0.12,0.2032,3448,0.1957,0.151,0.2403,4532,0.1614,0.1218,0.2011
202609160907,2026-09-16,09,07R,5049,0.1688,0.1302,0.2074,3580,0.1737,0.126,0.2214,4703,0.1326,0.0937,0.1714,3901,0.1986,0.1476,0.2496,4136,0.1611,0.1252,0.1971,4156,0.1592,0.1218,0.1967
202609160908,2026-09-16,09,08R,4318,0.1543,0.1093,0.1993,3567,0.1722,0.1318,0.2126,4977,0.1442,0.1004,0.188,3900,0.1774,0.1373,0.2175,5005,0.1436,0.0981,0.1891,5172,0.1904,0.147,0.2338
202609160909,2026-09-16,09,09R,4058,0.1694,0.1311,0.2077,5356,0.1759,0.1309,0.2209,3349,0.1527,0.1092,0.1962,4259,0.1396,0.1038,0.1755,4017,0.1759,0.1424,0.2094,4949,0.1625,0.1193,0.2056
202609160910,2026-09-16,09,10R,4532,0.1405,0.1009,0.1802,4644,0.1345,0.1015,0.1674,4702,0.1285,0.0915,0.1655,4119,0.1676,0.123,0.2122,4933,0.1191,0.0855,0.1526,4423,0.1676,0.1237,0.2114
202609160911,2026-09-16,09,11R,4757,0.124,0.0859,0.1621,4824,0.1203,0.0848,0.1558,3629,0.1586,0.117,0.2002,5359,0.1616,0.1157,0.2075,4581,0.147,0.1092,0.1849,4136,0.1746,0.1387,0.2106
202609160912,2026-09-16,09,12R,4156,0.1383,0.1009,0.1758,4977,0.1502,0.1064,0.194,4458,0.1368,0.1,0.1736,5354,0.1555,0.1042,0.2069,5073,0.1649,0.1248,0.2051,5049,0.1897,0.1511,0.2283
202609161101,2026-09-16,11,01R,3797,0.1869,0.15,0.2239,4116,0.2089,0.1675,0.2504,4947,0.1687,0.1243,0.2131,5170,0.1391,0.1003,0.1778,4835,0.1463,0.1099,0.1827,4607,0.1705,0.1256,0.2155
202609161102,2026-09-16,11,02R,4747,0.17,0.132,0.2081,4486,0.1735,0.1291,0.2179,3708,0.1485,0.1104,0.1867,4540,0.131,0.0873,0.1746,3896,0.1588,0.1165,0.2011,5472,0.2516,0.2016,0.3015
202609161103,2026-09-16,11,03R,3793,0.1417,0.0931,0.1903,4660,0.1858,0.1371,0.2346,4254,0.142,0.1026,0.1815,3441,0.1745,0.1253,0.2237,3961,0.1664,0.1263,0.2064,3435,0.1612,0.1216,0.2009
