レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603300807,3,2,1,2,4,3,×,×,×,×,差し,まくり,×,2,1.0,1,2.0,4,3.0,6,4.0,5,6.0,3,5.0,0,×,0.065,0.28,0.018,0.2,0.061,0.15,0.035,0.18,0.019,0.17,0.052,0.17,0.15
202603300808,3,2,5,2,1,3,×,×,×,×,まくり,まくり,○,3,1.0,1,2.0,2,3.0,6,5.0,4,6.0,5,4.0,0,×,0.036,0.16,-0.003,0.1,0.052,0.14,0.011,0.18,0.041,0.26,0.035,0.25,0.153
202603300809,1,6,3,1,2,3,○,×,○,×,逃げ,逃げ,○,5,1.0,6,2.0,1,3.0,4,4.0,2,5.0,3,6.0,1,×,0.068,0.12,-0.001,0.2,0.043,0.17,0.041,0.17,0.022,0.13,0.069,0.16,0.118
202603300810,1,5,4,5,2,4,×,×,○,×,逃げ,差し,×,1,2.0,6,3.0,5,4.0,4,1.0,2,5.0,3,6.0,0,×,0.046,0.18,0.047,0.13,0.018,0.08,0.062,0.17,0.135,0.04,0.031,0.05,0.0835
202603300811,1,4,2,1,3,4,○,×,×,×,逃げ,,-,5,1.0,2,2.0,6,3.0,1,4.0,3,5.0,4,6.0,1,×,0.072,0.07,0.029,0.2,0.046,0.14,0.003,0.1,0.093,0.08,0.046,0.09,0.07016666666666667
202603300812,1,4,2,1,3,6,○,×,×,×,逃げ,逃げ,○,2,1.0,5,2.0,3,3.0,1,4.0,6,5.0,4,6.0,1,×,0.051,0.04,0.031,0.12,0.011,0.09,0.064,0.13,0.082,0.21,0.026,0.18,0.08783333333333333
202603300601,2,4,1,3,4,6,×,○,×,×,差し,まくり,×,4,1.0,3,2.0,5,3.0,1,4.0,2,6.0,6,5.0,0,×,-0.004,0.07,-0.026,0.14,0.033,0.18,0.073,0.21,-0.045,0.46,-0.05,0.2,0.21316666666666664
202603300602,3,5,1,5,1,6,×,×,×,×,逃げ,差し,×,4,1.0,5,2.0,1,3.0,2,4.0,3,5.0,6,6.0,1,×,0.029,0.22,-0.032,0.24,0.035,0.25,-0.057,0.16,0.023,0.19,0.032,0.18,0.20166666666666666
202603300603,4,1,5,4,2,3,○,×,×,×,差し,差し,○,4,1.0,5,2.0,3,3.0,2,4.0,1,5.0,6,6.0,2,×,0.042,0.17,-0.005,0.13,-0.023,0.15,-0.01,0.15,0.017,0.09,-0.034,0.14,0.14049999999999999
202603300604,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○,5,1.0,6,2.0,1,3.0,3,4.0,2,6.0,4,5.0,0,×,-0.024,0.13,0.071,0.17,0.037,0.14,0.033,0.17,0.036,0.23,-0.087,0.19,0.16066666666666668
202603300605,3,1,2,3,5,1,○,×,×,×,差し,逃げ,×,1,2.0,2,3.0,3,1.0,6,4.0,5,5.0,4,6.0,1,×,-0.019,0.12,0.003,0.16,-0.003,0.12,0.024,0.14,-0.04,0.2,0.025,0.26,0.16833333333333333
202603300606,6,3,5,1,2,4,×,×,×,×,差し,逃げ,×,6,1.0,4,2.0,1,3.0,2,4.0,3,5.0,5,6.0,0,×,-0.016,0.16,-0.043,0.15,-0.019,0.21,-0.031,0.19,-0.001,0.15,-0.008,0.22,0.19966666666666666
202603300607,3,4,6,6,3,5,×,×,×,×,逃げ,,-,5,1.0,4,2.0,6,3.0,1,4.0,3,5.0,2,6.0,0,×,0.012,0.15,0.024,0.17,0.026,0.16,0.046,0.14,-0.071,0.11,0.055,0.13,0.128
202603300608,1,5,3,1,2,3,○,×,○,×,逃げ,逃げ,○,2,1.0,6,2.0,5,3.0,4,4.0,3,5.0,1,6.0,1,×,0.012,0.04,0.021,0.05,-0.007,0.06,0.011,0.26,-0.006,0.24,0.054,0.2,0.1275
202603300609,3,6,4,1,5,3,×,×,×,×,逃げ,逃げ,○,5,1.0,2,2.0,3,3.0,1,4.0,6,5.0,4,6.0,2,×,-0.018,0.1,0.022,0.1,-0.014,0.08,0.026,0.13,0.004,0.15,0.04,0.13,0.105
202603300610,4,3,1,1,3,5,×,○,×,×,逃げ,逃げ,○,6,1.0,3,2.0,5,3.0,1,4.0,4,5.0,2,6.0,0,×,-0.019,0.13,0.012,0.14,-0.05,0.15,0.074,0.25,0.017,0.22,-0.021,0.32,0.1995
202603300611,1,3,2,1,6,5,○,×,×,×,逃げ,逃げ,○,5,1.0,3,2.0,1,3.0,2,4.0,4,5.0,6,6.0,1,×,-0.033,0.13,0.004,0.15,0.024,0.14,0.022,0.13,-0.049,0.12,0.057,0.16,0.13416666666666666
202603300612,1,2,5,1,3,2,○,×,×,×,逃げ,逃げ,○,4,1.0,1,2.0,6,3.0,5,4.0,2,5.0,3,6.0,0,×,-0.014,0.11,0.033,0.08,0.009,0.11,0.009,0.13,-0.031,0.11,0.022,0.11,0.10366666666666667
202603300501,4,3,1,1,3,2,×,○,×,×,逃げ,逃げ,○,5,1.0,4,2.0,3,3.0,1,4.0,6,5.0,2,6.0,1,×,0.026,0.09,0.206,0.09,0.048,0.09,0.022,0.08,0.092,0.1,0.253,0.07,0.0785
202603300502,2,4,1,1,3,2,×,×,×,×,差し,逃げ,×,2,1.0,1,2.0,5,3.0,3,4.0,4,5.0,6,6.0,1,×,0.033,0.11,-0.006,0.1,0.032,0.16,-0.001,0.15,0.11,0.16,0.253,0.16,0.10083333333333333
202603300503,6,4,3,3,5,2,×,×,×,×,逃げ,まくり,×,5,1.0,2,2.0,4,3.0,6,4.0,3,5.0,1,6.0,1,×,0.064,0.14,0.212,0.07,0.083,0.21,0.012,0.15,0.026,0.15,0.028,0.15,0.1215
202603300504,3,2,5,4,5,2,×,×,×,×,差し,まくり,×,2,1.0,3,2.0,1,3.0,5,4.0,4,5.0,6,6.0,1,×,0.135,0.18,0.035,0.17,0.034,0.13,0.057,0.09,0.11,0.16,0.212,0.18,0.06516666666666666
202603300505,2,3,1,2,3,4,○,○,×,×,逃げ,まくり,×,4,1.0,1,2.0,3,3.0,6,4.0,5,5.0,2,6.0,2,×,0.057,0.33,0.035,0.26,0.042,0.23,0.021,0.18,0.066,0.21,0.053,0.13,0.17766666666666667
202603300506,5,1,2,4,2,3,×,×,×,×,逃げ,まくり,×,2,1.0,3,2.0,5,3.0,6,4.0,1,5.0,4,6.0,0,×,0.01,0.09,0.054,0.17,0.042,0.19,0.04,0.11,0.043,0.23,0.11,0.22,0.1185
202603300507,2,1,5,1,3,4,×,×,×,×,逃げ,逃げ,○,4,1.0,1,2.0,5,3.0,6,4.0,3,5.0,2,6.0,0,×,0.021,0.14,0.044,0.14,0.021,0.09,0.058,0.13,0.007,0.12,0.261,0.11,0.10333333333333335
202603300508,1,2,5,3,5,4,×,×,×,×,逃げ,まくり,×,3,1.0,1,2.0,5,3.0,6,4.0,4,5.0,2,6.0,0,×,0.009,0.17,0.054,0.17,0.042,0.05,0.039,0.12,0.015,0.15,0.033,0.18,0.108
202603300509,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○,1,1.0,3,2.0,5,3.0,4,4.0,6,5.0,2,6.0,2,×,0.008,0.12,0.047,0.13,0.107,0.13,0.102,0.11,0.069,0.14,0.283,0.11,0.07833333333333334
