レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202608100502,2026-08-10,05,02R,12:02,2026-08-10T11:52:26.202571+09:00,5.5,14.6,17.5,87.9,29.3,5.9,5.3,17.5,35.1,17.5,9.0,7.4,58.6,117.2,39.0,351.7,50.2,58.6,351.7,117.2,117.2,21.9,117.2,175.8,87.9,58.6,43.9,70.3,351.7,351.7,3.1,2.2,23.5,70.5,12.8,5.2,17.6,47.0,12.8,47.0,141.0,47.0,70.5,141.0,141.0
202608100804,2026-08-10,08,04R,12:01,2026-08-10T11:52:26.202571+09:00,6.0,11.0,24.3,4.6,17.3,6.7,13.5,40.5,17.3,30.3,13.5,40.5,121.5,24.3,121.5,121.5,60.7,121.5,60.7,0.0,17.3,30.3,121.5,0.0,40.5,30.3,60.7,20.2,0.0,0.0,13.6,9.5,13.6,4.3,13.6,23.8,0.0,7.3,23.8,15.8,6.8,13.6,9.5,11.9,11.9
202608101408,2026-08-10,14,08R,12:03,2026-08-10T11:54:25.701406+09:00,23.7,6.9,5.7,12.2,28.1,63.3,26.1,37.9,29.2,151.9,9.3,39.9,10.4,15.8,94.9,11.5,34.5,17.6,11.8,63.3,47.4,63.3,29.2,30.3,126.6,63.3,108.5,189.9,84.4,189.9,8.3,6.4,4.8,23.2,58.1,8.9,12.9,12.9,19.3,5.0,16.6,58.1,6.4,58.1,38.7
202608100303,2026-08-10,03,03R,12:08,2026-08-10T11:58:28.140549+09:00,14.1,20.7,26.9,44.8,20.7,4.8,4.2,17.9,15.8,15.8,13.4,15.8,44.8,67.3,33.6,26.9,24.4,38.4,29.9,89.7,89.7,38.4,0.0,0.0,44.8,67.3,53.8,44.8,269.2,89.7,2.4,10.4,23.4,18.7,93.7,2.9,9.3,7.8,93.7,23.4,15.6,93.7,0.0,0.0,46.8
202608101804,2026-08-10,18,04R,12:09,2026-08-10T12:00:31.183855+09:00,17.6,11.5,17.5,22.8,112.0,31.3,23.6,51.6,58.5,170.5,15.3,24.0,7.3,10.4,30.1,10.8,12.6,8.0,9.2,14.1,56.0,87.1,33.8,40.0,83.4,178.2,280.1,217.8,217.8,261.4,6.7,7.1,7.8,16.0,86.3,8.6,12.7,43.1,115.1,3.9,6.2,21.5,9.7,23.8,69.0
202608102308,2026-08-10,23,08R,12:17,2026-08-10T12:08:21.769195+09:00,37.6,80.4,16.9,150.7,67.0,67.0,57.4,32.5,241.2,134.0,241.2,120.6,60.3,0.0,201.0,3.9,12.4,2.8,32.5,2.8,603.0,603.0,1206,402.0,402.0,172.2,301.5,172.2,48.2,603.0,13.7,22.9,2.3,103.1,103.1,9.8,5.4,22.9,18.7,8.9,103.1,103.1,29.4,4.5,206.2
202608102109,2026-08-10,21,09R,12:21,2026-08-10T12:12:23.928096+09:00,9.8,3.1,27.3,14.0,25.8,20.5,70.2,123.0,44.7,98.4,6.3,44.7,35.1,10.0,24.6,49.2,123.0,70.2,41.0,123.0,15.8,70.2,16.9,82.0,21.3,54.6,492.0,164.0,164.0,98.4,8.1,4.0,40.7,3.2,30.5,12.2,61.1,17.4,122.2,15.2,5.3,30.5,61.1,40.7,9.4
202608101305,2026-08-10,13,05R,12:23,2026-08-10T12:14:28.518843+09:00,4.3,5.6,21.7,7.1,46.0,16.5,16.5,82.8,24.3,103.5,7.6,20.7,59.1,9.8,82.8,82.8,59.1,207.0,82.8,82.8,23.0,27.6,20.7,103.5,103.5,207.0,207.0,138.0,414.0,414.0,3.4,3.8,10.9,15.3,0.0,3.2,0.0,8.5,0.0,17.0,11.8,153.7,19.2,0.0,153.7
202608101604,2026-08-10,16,04R,12:26,2026-08-10T12:16:25.056653+09:00,12.4,12.4,30.6,12.4,33.6,22.4,11.2,22.4,14.6,33.6,14.0,12.9,16.8,10.2,42.0,28.0,21.0,25.9,18.7,56.1,33.6,30.6,33.6,22.4,42.0,67.3,112.2,56.1,84.1,56.1,9.0,9.0,12.3,16.5,19.8,6.1,16.5,6.6,14.1,9.9,5.5,24.7,11.0,33.0,33.0
202608100905,2026-08-10,09,05R,12:28,2026-08-10T12:18:21.838302+09:00,1.4,5.3,26.0,6.4,44.5,24.9,78.0,36.7,78.0,624.0,24.0,104.0,156.0,156.0,208.0,624.0,208.0,624.0,208.0,208.0,36.7,78.0,156.0,124.8,312.0,312.0,0.0,624.0,208.0,0.0,2.1,3.0,23.7,4.7,71.2,10.1,17.8,17.8,0.0,0.0,28.5,0.0,71.2,71.2,142.5
